FSA,State
8036,NJ
8036,NJ
8036,NJ
8036,NJ
8037,NJ
8037,NJ
8037,NJ
8037,NJ
8038,NJ
8038,NJ
8038,NJ
8038,NJ
8039,NJ
8039,NJ
8039,NJ
8039,NJ
8041,NJ
8041,NJ
8041,NJ
8041,NJ
8042,NJ
8042,NJ
8042,NJ
8042,NJ
8043,NJ
8043,NJ
8043,NJ
8043,NJ
8045,NJ
8045,NJ
8045,NJ
8045,NJ
8046,NJ
8046,NJ
8046,NJ
8046,NJ
8048,NJ
8048,NJ
8048,NJ
8048,NJ
8049,NJ
8049,NJ
8049,NJ
8049,NJ
8050,NJ
8050,NJ
8050,NJ
8050,NJ
8051,NJ
8051,NJ
8051,NJ
8051,NJ
8052,NJ
8052,NJ
8052,NJ
8052,NJ
8053,NJ
8053,NJ
8053,NJ
8053,NJ
8054,NJ
8054,NJ
8054,NJ
8054,NJ
8055,NJ
8055,NJ
8055,NJ
8055,NJ
8056,NJ
8056,NJ
8056,NJ
8056,NJ
8057,NJ
8057,NJ
8057,NJ
8057,NJ
8059,NJ
8059,NJ
8059,NJ
8059,NJ
8060,NJ
8060,NJ
8060,NJ
8060,NJ
8061,NJ
8061,NJ
8061,NJ
8061,NJ
8062,NJ
8062,NJ
8062,NJ
8062,NJ
8063,NJ
8063,NJ
8063,NJ
8063,NJ
8064,NJ
8064,NJ
8064,NJ
8064,NJ
8065,NJ
8065,NJ
8065,NJ
8065,NJ
8066,NJ
8066,NJ
8066,NJ
8066,NJ
8067,NJ
8067,NJ
8067,NJ
8067,NJ
8068,NJ
8068,NJ
8068,NJ
8068,NJ
8069,NJ
8069,NJ
8069,NJ
8069,NJ
8070,NJ
8070,NJ
8070,NJ
8070,NJ
8071,NJ
8071,NJ
8071,NJ
8071,NJ
8072,NJ
8072,NJ
8072,NJ
8072,NJ
8073,NJ
8073,NJ
8073,NJ
8073,NJ
8074,NJ
8074,NJ
8074,NJ
8074,NJ
8075,NJ
8075,NJ
8075,NJ
8075,NJ
8076,NJ
8076,NJ
8076,NJ
8076,NJ
8077,NJ
8077,NJ
8077,NJ
8077,NJ
8078,NJ
8078,NJ
8078,NJ
8078,NJ
8079,NJ
8079,NJ
8079,NJ
8079,NJ
8080,NJ
8080,NJ
8080,NJ
8080,NJ
8081,NJ
8081,NJ
8081,NJ
8081,NJ
8083,NJ
8083,NJ
8083,NJ
8083,NJ
8084,NJ
8084,NJ
8084,NJ
8084,NJ
8085,NJ
8085,NJ
8085,NJ
8085,NJ
8086,NJ
8086,NJ
8086,NJ
8086,NJ
8087,NJ
8087,NJ
